1 1:1 2:0.36435765436738704 3:0.3333333333333333 4:1 5:0 6:0 7:1 8:0 9:0 10:0 11:0 12:0 13:1 14:0 15:1 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0.607043828596713 55:0.6267217208682151 56:0.6563774155260674 57:0.5 58:0.5577734713497952 59:0.5233456403081337 60:0.5 61:0.5 62:0.617245385686066 63:0.6876465059093766 64:0.70838596586038 65:0.5692517375501781 66:0.5 67:1 68:0.5 69:0.5973688621439767 70:0.5 71:0.5811526154815995 72:0.611137966799573 73:1 74:0.7110550340917559 75:0.6959949674278685 76:0.6846835705702682 77:0.7085848622356106 
1 1:1 2:0.7725434872343215 3:0.3333333333333333 4:1 5:0 6:0 7:1 8:0 9:0 10:0 11:0 12:1 13:0 14:0 15:1 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0.607043828596713 55:0.6267217208682151 56:0.6563774155260674 57:0.5 58:0.5577734713497952 59:0.5233456403081337 60:0.5 61:0.5 62:0.617245385686066 63:0.6876465059093766 64:0.70838596586038 65:0.5692517375501781 66:0.5 67:1 68:0.5 69:0.5973688621439767 70:0.5 71:0.5811526154815995 72:0.611137966799573 73:1 74:0.7110550340917559 75:0.6959949674278685 76:0.6846835705702682 77:0.7085848622356106 
-1 1:1 2:0.4705169462653555 3:0.3333333333333333 4:1 5:0 6:0 7:0 8:0 9:1 10:0 11:0 12:0 13:1 14:0 15:1 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0.5103864223005199 55:0.5763785548030264 56:0.5711003125832678 57:0.5 58:0.5 59:0.5939517300936757 60:0.5729717728534833 61:0.5 62:0.5050424974372756 63:0.5515819430924429 64:0.728090750079668 65:0.5917806850848999 66:0 67:0.5 68:0.5876028204815266 69:0.5962846535468412 70:0.6061479218472771 71:0.5515819430924429 72:0.5515819430924429 73:0.6224964761253446 74:0.7177485733328628 75:0.5726707012896084 76:0.5980425737457671 77:0.6196664887721092 
-1 1:1 2:0.17357365561773694 3:0.3333333333333333 4:0 5:1 6:0 7:1 8:0 9:0 10:0 11:0 12:0 13:1 14:0 15:1 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:1 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:1 55:1 56:1 57:0.5802968134962474 58:1 59:0.5071358435357449 60:1 61:1 62:1 63:1 64:1 65:1 66:1 67:1 68:0.5871924500776564 69:1 70:1 71:1 72:1 73:1 74:1 75:1 76:1 77:1 
1 1:1 2:0.20555432123252096 3:0.3333333333333333 4:1 5:0 6:0 7:0 8:1 9:0 10:0 11:0 12:1 13:0 14:0 15:1 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:1 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:1 55:1 56:1 57:1 58:1 59:1 60:1 61:1 62:1 63:1 64:1 65:1 66:1 67:1 68:1 69:1 70:1 71:1 72:1 73:1 74:1 75:1 76:1 77:1 
-1 1:1 2:0.13340308291345956 3:1 4:0 5:0 6:1 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:1 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:1 26:0 27:0 28:0 29:1 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:1 44:0 45:1 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0.619968781265828 55:0.7078822749498878 56:0.7107707375861372 57:0.6865575540251694 58:0.7296554416208273 59:1 60:0.6844447124196184 61:0.5421168850545613 62:0.5863930105467947 63:0.560743432570608 64:0.7485216505521555 65:0.6460350144755439 66:0.5863527767209992 67:1 68:0.6309756016971211 69:0.7297322196616394 70:0.6865575540251694 71:0.584135437778018 72:0.584135437778018 73:0.7360748050706261 74:1 75:0.6140020047584228 76:0.6130547462913206 77:0.7486695791019076 
1 1:1 2:0.7427537582502124 3:1 4:1 5:0 6:0 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:1 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:1 26:0 27:0 28:0 29:1 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:1 44:0 45:1 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0.619968781265828 55:0.7078822749498878 56:0.7107707375861372 57:0.6865575540251694 58:0.7296554416208273 59:1 60:0.6844447124196184 61:0.5421168850545613 62:0.5863930105467947 63:0.560743432570608 64:0.7485216505521555 65:0.6460350144755439 66:0.5863527767209992 67:1 68:0.6309756016971211 69:0.7297322196616394 70:0.6865575540251694 71:0.584135437778018 72:0.584135437778018 73:0.7360748050706261 74:1 75:0.6140020047584228 76:0.6130547462913206 77:0.7486695791019076 
1 1:1 2:0.7457055204608061 3:0.3333333333333333 4:1 5:0 6:0 7:0 8:0 9:1 10:0 11:0 12:0 13:1 14:0 15:1 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:1 26:0 27:0 28:0 29:1 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:1 44:0 45:1 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0.619968781265828 55:0.7078822749498878 56:0.7107707375861372 57:0.6865575540251694 58:0.7296554416208273 59:1 60:0.6844447124196184 61:0.5421168850545613 62:0.5863930105467947 63:0.560743432570608 64:0.7485216505521555 65:0.6460350144755439 66:0.5863527767209992 67:1 68:0.6309756016971211 69:0.7297322196616394 70:0.6865575540251694 71:0.584135437778018 72:0.584135437778018 73:0.7360748050706261 74:1 75:0.6140020047584228 76:0.6130547462913206 77:0.7486695791019076 
1 1:1 2:0.526217393871465 3:0.3333333333333333 4:1 5:0 6:0 7:0 8:0 9:1 10:0 11:0 12:0 13:1 14:0 15:1 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:1 55:1 56:1 57:1 58:1 59:1 60:1 61:0.6664107346994605 62:1 63:0.6681182275683991 64:1 65:1 66:0.6750098283865735 67:1 68:0.7031976866612785 69:0.6986469999100658 70:0.6919697774235579 71:0.7103482211577957 72:0.7103482211577957 73:0.7052402154062373 74:1 75:0.6816136983674818 76:0.7337815774354726 77:1 
1 1:1 2:0.3359333992227832 3:0.3333333333333333 4:1 5:0 6:0 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:1 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:1 55:1 56:1 57:1 58:1 59:1 60:1 61:0.6664107346994605 62:1 63:0.6681182275683991 64:1 65:1 66:0.6750098283865735 67:1 68:0.7031976866612785 69:0.6986469999100658 70:0.6919697774235579 71:0.7103482211577957 72:0.7103482211577957 73:0.7052402154062373 74:1 75:0.6816136983674818 76:0.7337815774354726 77:1 
