parameters: n=7 l=3 k=1 p=5 q=2 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 9 | 230 | ((45*5)+5)=x | 45 5 * 5 + x = | 45:dollar 5:bill *:dollar 5:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 9 | 14 | ((45/5)+5)=x | 45 5 / 5 + x = | 45:dollar 5:bill /:dollar 5:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 9 | 70 | (45+(5*5))=x | 45 5 5 * + x = | 45:dollar 5:bill 5:dollar *:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 9 | 220 | ((45*5)-5)=x | 45 5 * 5 - x = | 45:dollar 5:bill *:dollar 5:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 9 | 45 | (45*(5/5))=x | 45 5 5 / * x = | 45:dollar 5:bill 5:dollar /:bill *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 9 | 4 | ((45/5)-5)=x | 45 5 / 5 - x = | 45:dollar 5:bill /:dollar 5:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 9 | 70 | x=(45+(5*5)) | x 45 5 5 * + = | x:dollar 45:dollar 5:bill 5:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 9 | 4 | x=((45/5)-5) | x 45 5 / 5 - = | x:dollar 45:dollar 5:bill /:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 9 | 14 | x=((45/5)+5) | x 45 5 / 5 + = | x:dollar 45:dollar 5:bill /:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 9 | 220 | x=((45*5)-5) | x 45 5 * 5 - = | x:dollar 45:dollar 5:bill *:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 9 | 230 | x=((45*5)+5) | x 45 5 * 5 + = | x:dollar 45:dollar 5:bill *:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 9 | 20 | (45-(5*5))=x | 45 5 5 * - x = | 45:dollar 5:bill 5:dollar *:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 9 | 20 | x=(45-(5*5)) | x 45 5 5 * - = | x:dollar 45:dollar 5:bill 5:dollar *:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 9 | 45 | x=(45*(5/5)) | x 45 5 5 / * = | x:dollar 45:dollar 5:bill 5:dollar /:bill *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 9 | 45 | (45*(5/5))=x | 45 5 5 / * x = | 45:dollar 5:bill 5:dollar /:bill *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 9 | 230 | ((45*5)+5)=x | 45 5 * 5 + x = | 45:dollar 5:bill *:dollar 5:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 9 | 14 | ((45/5)+5)=x | 45 5 / 5 + x = | 45:dollar 5:bill /:dollar 5:dollar +:dollar x:dollar =:dollar
