parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 22 solutions found
EXPR: 1 | POS | FRA | 0 | 3.07 | 3.07 | x=(3.0+0.07) | x 3.0 0.07 + = | x:dollar 3.0:dollar 0.07:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 3.07 | 2.93 | x=(3.0-0.07) | x 3.0 0.07 - = | x:dollar 3.0:dollar 0.07:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 1 | 3.07 | 2.93 | x=(3.0-0.07) | x 3.0 0.07 - = | x:dollar 3.0:dollar 0.07:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 1 | 3.07 | 3.07 | x=(3.0+0.07) | x 3.0 0.07 + = | x:dollar 3.0:dollar 0.07:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 3.07 | 2.93 | (3.0-x)=0.07 | 3.0 x - 0.07 = | 3.0:dollar x:dollar -:dollar 0.07:dollar =:dollar
EXPR: 1 | POS | FRA | 2 | 3.07 | 3.07 | (x-3.0)=0.07 | x 3.0 - 0.07 = | x:dollar 3.0:dollar -:dollar 0.07:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 3.07 | 2.93 | 3.0=(0.07+x) | 3.0 0.07 x + = | 3.0:dollar 0.07:dollar x:dollar +:dollar =:dollar
EXPR: 1 | POS | FRA | 2 | 3.07 | 3.07 | 3.0=(x-0.07) | 3.0 x 0.07 - = | 3.0:dollar x:dollar 0.07:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 3.07 | 2.93 | 3.0=(x+0.07) | 3.0 x 0.07 + = | 3.0:dollar x:dollar 0.07:dollar +:dollar =:dollar
EXPR: 1 | POS | FRA | 12 | 3.07 | 3.07 | 0.07=(x-3.0) | 0.07 x 3.0 - = | 0.07:dollar x:dollar 3.0:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 3.07 | 2.93 | (0.07+x)=3.0 | 0.07 x + 3.0 = | 0.07:dollar x:dollar +:dollar 3.0:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 3.07 | 2.93 | (x+0.07)=3.0 | x 0.07 + 3.0 = | x:dollar 0.07:dollar +:dollar 3.0:dollar =:dollar
EXPR: 1 | POS | FRA | 12 | 3.07 | 3.07 | (x-0.07)=3.0 | x 0.07 - 3.0 = | x:dollar 0.07:dollar -:dollar 3.0:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 3.07 | 2.93 | 0.07=(3.0-x) | 0.07 3.0 x - = | 0.07:dollar 3.0:dollar x:dollar -:dollar =:dollar
NET 14 non-negative solutions found out of 22 total solutions
