parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 22 solutions found
EXPR: 0 | POS | INT | 0 | 8 | 16 | x=(12+4) | x 12 4 + = | x:game 12:game 4:game +:game =:game
EXPR: 1 | POS | INT | 0 | 8 | 8 | x=(12-4) | x 12 4 - = | x:game 12:game 4:game -:game =:game
EXPR: 1 | POS | INT | 1 | 8 | 8 | x=(12-4) | x 12 4 - = | x:game 12:game 4:game -:game =:game
EXPR: 0 | POS | INT | 1 | 8 | 16 | x=(12+4) | x 12 4 + = | x:game 12:game 4:game +:game =:game
EXPR: 1 | POS | INT | 2 | 8 | 8 | (12-x)=4 | 12 x - 4 = | 12:game x:game -:game 4:game =:game
EXPR: 0 | POS | INT | 2 | 8 | 16 | (x-12)=4 | x 12 - 4 = | x:game 12:game -:game 4:game =:game
EXPR: 1 | POS | INT | 2 | 8 | 8 | 12=(4+x) | 12 4 x + = | 12:game 4:game x:game +:game =:game
EXPR: 0 | POS | INT | 2 | 8 | 16 | 12=(x-4) | 12 x 4 - = | 12:game x:game 4:game -:game =:game
EXPR: 1 | POS | INT | 2 | 8 | 8 | 12=(x+4) | 12 x 4 + = | 12:game x:game 4:game +:game =:game
EXPR: 0 | POS | INT | 12 | 8 | 16 | 4=(x-12) | 4 x 12 - = | 4:game x:game 12:game -:game =:game
EXPR: 1 | POS | INT | 12 | 8 | 8 | (4+x)=12 | 4 x + 12 = | 4:game x:game +:game 12:game =:game
EXPR: 1 | POS | INT | 12 | 8 | 8 | (x+4)=12 | x 4 + 12 = | x:game 4:game +:game 12:game =:game
EXPR: 0 | POS | INT | 12 | 8 | 16 | (x-4)=12 | x 4 - 12 = | x:game 4:game -:game 12:game =:game
EXPR: 1 | POS | INT | 12 | 8 | 8 | 4=(12-x) | 4 12 x - = | 4:game 12:game x:game -:game =:game
NET 14 non-negative, integer-valued solutions found out of 22 total solutions
