parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 22 solutions found
EXPR: 0 | POS | INT | 0 | 2 | 10 | x=(6+4) | x 6 4 + = | x:game 6:game 4:game +:game =:game
EXPR: 1 | POS | INT | 0 | 2 | 2 | x=(6-4) | x 6 4 - = | x:game 6:game 4:game -:game =:game
EXPR: 1 | POS | INT | 1 | 2 | 2 | x=(6-4) | x 6 4 - = | x:game 6:game 4:game -:game =:game
EXPR: 0 | POS | INT | 1 | 2 | 10 | x=(6+4) | x 6 4 + = | x:game 6:game 4:game +:game =:game
EXPR: 1 | POS | INT | 2 | 2 | 2 | (6-x)=4 | 6 x - 4 = | 6:game x:game -:game 4:game =:game
EXPR: 0 | POS | INT | 2 | 2 | 10 | (x-6)=4 | x 6 - 4 = | x:game 6:game -:game 4:game =:game
EXPR: 1 | POS | INT | 2 | 2 | 2 | 6=(4+x) | 6 4 x + = | 6:game 4:game x:game +:game =:game
EXPR: 0 | POS | INT | 2 | 2 | 10 | 6=(x-4) | 6 x 4 - = | 6:game x:game 4:game -:game =:game
EXPR: 1 | POS | INT | 2 | 2 | 2 | 6=(x+4) | 6 x 4 + = | 6:game x:game 4:game +:game =:game
EXPR: 0 | POS | INT | 12 | 2 | 10 | 4=(x-6) | 4 x 6 - = | 4:game x:game 6:game -:game =:game
EXPR: 1 | POS | INT | 12 | 2 | 2 | (4+x)=6 | 4 x + 6 = | 4:game x:game +:game 6:game =:game
EXPR: 1 | POS | INT | 12 | 2 | 2 | (x+4)=6 | x 4 + 6 = | x:game 4:game +:game 6:game =:game
EXPR: 0 | POS | INT | 12 | 2 | 10 | (x-4)=6 | x 4 - 6 = | x:game 4:game -:game 6:game =:game
EXPR: 1 | POS | INT | 12 | 2 | 2 | 4=(6-x) | 4 6 x - = | 4:game 6:game x:game -:game =:game
NET 14 non-negative, integer-valued solutions found out of 22 total solutions
