parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 1 | POS | INT | 0 | 108 | 108 | x=(9*12) | x 9 12 * = | x:egg 9:dozen 12:egg *:egg =:egg
EXPR: 1 | POS | INT | 1 | 108 | 108 | x=(9*12) | x 9 12 * = | x:egg 9:dozen 12:egg *:egg =:egg
EXPR: 1 | POS | INT | 2 | 108 | 108 | (x/9)=12 | x 9 / 12 = | x:egg 9:dozen /:egg 12:egg =:egg
EXPR: 1 | POS | INT | 10 | 108 | 108 | x=(9*12) | x 9 12 * = | x:dozen 9:dozen 12:egg *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 108 | 21 | x=(9+12) | x 9 12 + = | x:egg 9:egg 12:egg +:egg =:egg
EXPR: 1 | POS | INT | 11 | 108 | 108 | x=(9*12) | x 9 12 * = | x:dozen 9:dozen 12:egg *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 108 | 21 | x=(9+12) | x 9 12 + = | x:egg 9:egg 12:egg +:egg =:egg
EXPR: 0 | POS | INT | 12 | 108 | 21 | (x-9)=12 | x 9 - 12 = | x:egg 9:egg -:egg 12:egg =:egg
EXPR: 0 | POS | INT | 12 | 108 | 3 | (x+9)=12 | x 9 + 12 = | x:egg 9:egg +:egg 12:egg =:egg
EXPR: 0 | POS | INT | 12 | 108 | 3 | 9=(12-x) | 9 12 x - = | 9:egg 12:egg x:egg -:egg =:egg
EXPR: 1 | POS | INT | 12 | 108 | 108 | 9=(x/12) | 9 x 12 / = | 9:dozen x:dozen 12:egg /:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 108 | 3 | (9+x)=12 | 9 x + 12 = | 9:egg x:egg +:egg 12:egg =:egg
EXPR: 1 | POS | INT | 12 | 108 | 108 | 12=(x/9) | 12 x 9 / = | 12:egg x:egg 9:dozen /:egg =:egg
EXPR: 0 | POS | INT | 12 | 108 | 21 | 9=(x-12) | 9 x 12 - = | 9:egg x:egg 12:egg -:egg =:egg
EXPR: 1 | POS | INT | 20 | 108 | 108 | x=(9*12) | x 9 12 * = | x:egg 9:egg 12:dozen *:egg =:egg
EXPR: 0 | POS | INT | 20 | 108 | 3 | x=(12-9) | x 12 9 - = | x:egg 12:egg 9:egg -:egg =:egg
EXPR: 0 | POS | INT | 20 | 108 | 21 | x=(9+12) | x 9 12 + = | x:dozen 9:dozen 12:dozen +:dozen =:dozen
EXPR: 1 | POS | INT | 21 | 108 | 108 | x=(9*12) | x 9 12 * = | x:egg 9:egg 12:dozen *:egg =:egg
EXPR: 0 | POS | INT | 21 | 108 | 3 | x=(12-9) | x 12 9 - = | x:egg 12:egg 9:egg -:egg =:egg
EXPR: 0 | POS | INT | 21 | 108 | 21 | x=(9+12) | x 9 12 + = | x:dozen 9:dozen 12:dozen +:dozen =:dozen
EXPR: 1 | POS | INT | 22 | 108 | 108 | (x/12)=9 | x 12 / 9 = | x:dozen 12:egg /:dozen 9:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 108 | 3 | (x+9)=12 | x 9 + 12 = | x:dozen 9:dozen +:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 108 | 3 | 12=(9+x) | 12 9 x + = | 12:egg 9:egg x:egg +:egg =:egg
EXPR: 0 | POS | INT | 22 | 108 | 3 | 12=(x+9) | 12 x 9 + = | 12:egg x:egg 9:egg +:egg =:egg
EXPR: 0 | POS | INT | 22 | 108 | 21 | 9=(x-12) | 9 x 12 - = | 9:dozen x:dozen 12:dozen -:dozen =:dozen
EXPR: 1 | POS | INT | 22 | 108 | 108 | 9=(x/12) | 9 x 12 / = | 9:egg x:egg 12:dozen /:egg =:egg
EXPR: 0 | POS | INT | 22 | 108 | 3 | 9=(12-x) | 9 12 x - = | 9:dozen 12:dozen x:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 108 | 21 | (x-9)=12 | x 9 - 12 = | x:dozen 9:dozen -:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 108 | 21 | 12=(x-9) | 12 x 9 - = | 12:egg x:egg 9:egg -:egg =:egg
EXPR: 0 | POS | INT | 22 | 108 | 3 | (9+x)=12 | 9 x + 12 = | 9:dozen x:dozen +:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 108 | 3 | (12-x)=9 | 12 x - 9 = | 12:egg x:egg -:egg 9:egg =:egg
EXPR: 0 | POS | INT | 22 | 108 | 21 | (x-12)=9 | x 12 - 9 = | x:egg 12:egg -:egg 9:egg =:egg
EXPR: 1 | POS | INT | 30 | 108 | 108 | x=(9*12) | x 9 12 * = | x:dozen 9:egg 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 30 | 108 | 3 | x=(12-9) | x 12 9 - = | x:dozen 12:dozen 9:dozen -:dozen =:dozen
EXPR: 1 | POS | INT | 31 | 108 | 108 | x=(9*12) | x 9 12 * = | x:dozen 9:egg 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 31 | 108 | 3 | x=(12-9) | x 12 9 - = | x:dozen 12:dozen 9:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 108 | 3 | 12=(9+x) | 12 9 x + = | 12:dozen 9:dozen x:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 108 | 3 | 12=(x+9) | 12 x 9 + = | 12:dozen x:dozen 9:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 108 | 21 | 12=(x-9) | 12 x 9 - = | 12:dozen x:dozen 9:dozen -:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 108 | 108 | (x/12)=9 | x 12 / 9 = | x:egg 12:dozen /:egg 9:egg =:egg
EXPR: 1 | POS | INT | 32 | 108 | 108 | (x/9)=12 | x 9 / 12 = | x:dozen 9:egg /:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 108 | 3 | (12-x)=9 | 12 x - 9 = | 12:dozen x:dozen -:dozen 9:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 108 | 21 | (x-12)=9 | x 12 - 9 = | x:dozen 12:dozen -:dozen 9:dozen =:dozen
EXPR: 1 | POS | INT | 42 | 108 | 108 | 12=(x/9) | 12 x 9 / = | 12:dozen x:dozen 9:egg /:dozen =:dozen
NET 44 non-negative, integer-valued solutions found out of 108 total solutions
