1 1:0.09822627655811278 2:0 3:1 4:1 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 
0 1:0.09822627655811278 2:0 3:1 4:0 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 
0 1:0.0643972725952411 2:1 3:1 4:1 5:0 6:1 7:1 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0 
0 1:0.0643972725952411 2:0 3:1 4:0 5:1 6:1 7:1 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0 
1 1:0.05606603380650126 2:0 3:1 4:1 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 
0 1:0.05606603380650126 2:0 3:1 4:0 5:1 6:1 7:1 8:0 9:1 10:0 11:0 12:0 13:0 14:0 15:0 
1 1:0.17331367525984653 2:0 3:1 4:1 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 
0 1:0.17331367525984653 2:0 3:1 4:0 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 
0 1:0.17331367525984653 2:0 3:1 4:0 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 
0 1:0.08640769396553487 2:1 3:1 4:1 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 
0 1:0.08640769396553487 2:0 3:1 4:1 5:0 6:1 7:1 8:1 9:0 10:0 11:0 12:0 13:0 14:0 15:0 
0 1:0.46649348974678806 2:0 3:1 4:0 5:1 6:1 7:0 8:0 9:0 10:0 11:0 12:1 13:0 14:0 15:0 
0 1:0.46649348974678806 2:0 3:1 4:1 5:0 6:1 7:0 8:1 9:0 10:0 11:0 12:1 13:0 14:0 15:0 
0 1:0.04170554646982741 2:1 3:1 4:1 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 
0 1:0.04170554646982741 2:0 3:1 4:0 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 
0 1:0.6435649711681546 2:1 3:1 4:1 5:0 6:0 7:1 8:1 9:0 10:0 11:0 12:0 13:1 14:0 15:0 
0 1:0.6435649711681546 2:1 3:1 4:1 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:1 14:0 15:0 
0 1:0.6435649711681546 2:0 3:1 4:1 5:0 6:1 7:1 8:1 9:0 10:0 11:0 12:0 13:1 14:0 15:0 
