parameters: n=9 l=4 k=1 p=5 q=1 m=10
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 1 | 11 | x=(((8-13)-2)+18) | x 8 13 - 2 - 18 + = | x:dollar 8:dollar 13:dollar -:dollar 2:dollar -:dollar 18:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 5 | x=(8+(13+(2-18))) | x 8 13 2 18 - + + = | x:dollar 8:dollar 13:dollar 2:dollar 18:dollar -:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 41 | x=(8+(13+(2+18))) | x 8 13 2 18 + + + = | x:dollar 8:dollar 13:dollar 2:dollar 18:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 11 | x=(8-(13+(2-18))) | x 8 13 2 18 - + - = | x:dollar 8:dollar 13:dollar 2:dollar 18:dollar -:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 37 | x=(8+(13-(2-18))) | x 8 13 2 18 - - + = | x:dollar 8:dollar 13:dollar 2:dollar 18:dollar -:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 15 | x=(8-(13-(2+18))) | x 8 13 2 18 + - - = | x:dollar 8:dollar 13:dollar 2:dollar 18:dollar +:dollar -:dollar -:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 1 | 1 | x=(8+(13-(2+18))) | x 8 13 2 18 + - + = | x:dollar 8:dollar 13:dollar 2:dollar 18:dollar +:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 15 | x=((8-(13-2))+18) | x 8 13 2 - - 18 + = | x:dollar 8:dollar 13:dollar 2:dollar -:dollar -:dollar 18:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 1 | 1 | x=((8+(13-2))-18) | x 8 13 2 - + 18 - = | x:dollar 8:dollar 13:dollar 2:dollar -:dollar +:dollar 18:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 11 | x=((8-(13+2))+18) | x 8 13 2 + - 18 + = | x:dollar 8:dollar 13:dollar 2:dollar +:dollar -:dollar 18:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 37 | x=((8+(13-2))+18) | x 8 13 2 - + 18 + = | x:dollar 8:dollar 13:dollar 2:dollar -:dollar +:dollar 18:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 1 | 1 | x=(((8+13)-2)-18) | x 8 13 + 2 - 18 - = | x:dollar 8:dollar 13:dollar +:dollar 2:dollar -:dollar 18:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 5 | x=((8+(13+2))-18) | x 8 13 2 + + 18 - = | x:dollar 8:dollar 13:dollar 2:dollar +:dollar +:dollar 18:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 41 | x=((8+(13+2))+18) | x 8 13 2 + + 18 + = | x:dollar 8:dollar 13:dollar 2:dollar +:dollar +:dollar 18:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 15 | x=((8-13)+(2+18)) | x 8 13 - 2 18 + + = | x:dollar 8:dollar 13:dollar -:dollar 2:dollar 18:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 37 | x=(((8+13)-2)+18) | x 8 13 + 2 - 18 + = | x:dollar 8:dollar 13:dollar +:dollar 2:dollar -:dollar 18:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 5 | x=(((8+13)+2)-18) | x 8 13 + 2 + 18 - = | x:dollar 8:dollar 13:dollar +:dollar 2:dollar +:dollar 18:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 11 | x=((8-13)-(2-18)) | x 8 13 - 2 18 - - = | x:dollar 8:dollar 13:dollar -:dollar 2:dollar 18:dollar -:dollar -:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 1 | 1 | x=(8+((13-2)-18)) | x 8 13 2 - 18 - + = | x:dollar 8:dollar 13:dollar 2:dollar -:dollar 18:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 15 | x=(((8-13)+2)+18) | x 8 13 - 2 + 18 + = | x:dollar 8:dollar 13:dollar -:dollar 2:dollar +:dollar 18:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 41 | x=(8+((13+2)+18)) | x 8 13 2 + 18 + + = | x:dollar 8:dollar 13:dollar 2:dollar +:dollar 18:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 15 | x=(8-((13-2)-18)) | x 8 13 2 - 18 - - = | x:dollar 8:dollar 13:dollar 2:dollar -:dollar 18:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 37 | x=(8+((13-2)+18)) | x 8 13 2 - 18 + + = | x:dollar 8:dollar 13:dollar 2:dollar -:dollar 18:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 5 | x=(8+((13+2)-18)) | x 8 13 2 + 18 - + = | x:dollar 8:dollar 13:dollar 2:dollar +:dollar 18:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 41 | x=(((8+13)+2)+18) | x 8 13 + 2 + 18 + = | x:dollar 8:dollar 13:dollar +:dollar 2:dollar +:dollar 18:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 37 | x=((8+13)-(2-18)) | x 8 13 + 2 18 - - = | x:dollar 8:dollar 13:dollar +:dollar 2:dollar 18:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 5 | x=((8+13)+(2-18)) | x 8 13 + 2 18 - + = | x:dollar 8:dollar 13:dollar +:dollar 2:dollar 18:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 11 | x=(8-((13+2)-18)) | x 8 13 2 + 18 - - = | x:dollar 8:dollar 13:dollar 2:dollar +:dollar 18:dollar -:dollar -:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 1 | 1 | x=((8+13)-(2+18)) | x 8 13 + 2 18 + - = | x:dollar 8:dollar 13:dollar +:dollar 2:dollar 18:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 41 | x=((8+13)+(2+18)) | x 8 13 + 2 18 + + = | x:dollar 8:dollar 13:dollar +:dollar 2:dollar 18:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 1 | 5 | x=(8+(13+(2-18))) | x 8 13 2 18 - + + = | x:dollar 8:dollar 13:dollar 2:dollar 18:dollar -:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 1 | 11 | x=(8-(13+(2-18))) | x 8 13 2 18 - + - = | x:dollar 8:dollar 13:dollar 2:dollar 18:dollar -:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 1 | 41 | x=(8+(13+(2+18))) | x 8 13 2 18 + + + = | x:dollar 8:dollar 13:dollar 2:dollar 18:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 1 | 37 | x=(8+(13-(2-18))) | x 8 13 2 18 - - + = | x:dollar 8:dollar 13:dollar 2:dollar 18:dollar -:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 1 | 15 | x=(8-(13-(2+18))) | x 8 13 2 18 + - - = | x:dollar 8:dollar 13:dollar 2:dollar 18:dollar +:dollar -:dollar -:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 1 | 1 | x=(8+(13-(2+18))) | x 8 13 2 18 + - + = | x:dollar 8:dollar 13:dollar 2:dollar 18:dollar +:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 1 | 15 | x=((8-(13-2))+18) | x 8 13 2 - - 18 + = | x:dollar 8:dollar 13:dollar 2:dollar -:dollar -:dollar 18:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 1 | 1 | x=((8+(13-2))-18) | x 8 13 2 - + 18 - = | x:dollar 8:dollar 13:dollar 2:dollar -:dollar +:dollar 18:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 1 | 11 | x=((8-(13+2))+18) | x 8 13 2 + - 18 + = | x:dollar 8:dollar 13:dollar 2:dollar +:dollar -:dollar 18:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 1 | 37 | x=((8+(13-2))+18) | x 8 13 2 - + 18 + = | x:dollar 8:dollar 13:dollar 2:dollar -:dollar +:dollar 18:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 1 | 1 | x=(((8+13)-2)-18) | x 8 13 + 2 - 18 - = | x:dollar 8:dollar 13:dollar +:dollar 2:dollar -:dollar 18:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 1 | 41 | x=((8+(13+2))+18) | x 8 13 2 + + 18 + = | x:dollar 8:dollar 13:dollar 2:dollar +:dollar +:dollar 18:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 1 | 15 | x=((8-13)+(2+18)) | x 8 13 - 2 18 + + = | x:dollar 8:dollar 13:dollar -:dollar 2:dollar 18:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 1 | 37 | x=(((8+13)-2)+18) | x 8 13 + 2 - 18 + = | x:dollar 8:dollar 13:dollar +:dollar 2:dollar -:dollar 18:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 1 | 5 | x=(((8+13)+2)-18) | x 8 13 + 2 + 18 - = | x:dollar 8:dollar 13:dollar +:dollar 2:dollar +:dollar 18:dollar -:dollar =:dollar
