parameters: n=9 l=4 k=1 p=5 q=1 m=10
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 50 | 72 | x=(((91-24)-6)+11) | x 91 24 - 6 - 11 + = | x:dollar 91:dollar 24:dollar -:dollar 6:dollar -:dollar 11:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 110 | x=(91+(24+(6-11))) | x 91 24 6 11 - + + = | x:dollar 91:dollar 24:dollar 6:dollar 11:dollar -:dollar +:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 50 | 50 | x=(91-(24+(6+11))) | x 91 24 6 11 + + - = | x:dollar 91:dollar 24:dollar 6:dollar 11:dollar +:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 132 | x=(91+(24+(6+11))) | x 91 24 6 11 + + + = | x:dollar 91:dollar 24:dollar 6:dollar 11:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 72 | x=(91-(24+(6-11))) | x 91 24 6 11 - + - = | x:dollar 91:dollar 24:dollar 6:dollar 11:dollar -:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 120 | x=(91+(24-(6-11))) | x 91 24 6 11 - - + = | x:dollar 91:dollar 24:dollar 6:dollar 11:dollar -:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 84 | x=(91-(24-(6+11))) | x 91 24 6 11 + - - = | x:dollar 91:dollar 24:dollar 6:dollar 11:dollar +:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 98 | x=(91+(24-(6+11))) | x 91 24 6 11 + - + = | x:dollar 91:dollar 24:dollar 6:dollar 11:dollar +:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 62 | x=(91-(24-(6-11))) | x 91 24 6 11 - - - = | x:dollar 91:dollar 24:dollar 6:dollar 11:dollar -:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 84 | x=((91-(24-6))+11) | x 91 24 6 - - 11 + = | x:dollar 91:dollar 24:dollar 6:dollar -:dollar -:dollar 11:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 62 | x=((91-(24-6))-11) | x 91 24 6 - - 11 - = | x:dollar 91:dollar 24:dollar 6:dollar -:dollar -:dollar 11:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 98 | x=((91+(24-6))-11) | x 91 24 6 - + 11 - = | x:dollar 91:dollar 24:dollar 6:dollar -:dollar +:dollar 11:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 72 | x=((91-(24+6))+11) | x 91 24 6 + - 11 + = | x:dollar 91:dollar 24:dollar 6:dollar +:dollar -:dollar 11:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 120 | x=((91+(24-6))+11) | x 91 24 6 - + 11 + = | x:dollar 91:dollar 24:dollar 6:dollar -:dollar +:dollar 11:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 50 | 50 | x=((91-(24+6))-11) | x 91 24 6 + - 11 - = | x:dollar 91:dollar 24:dollar 6:dollar +:dollar -:dollar 11:dollar -:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 50 | 50 | x=((91-24)-(6+11)) | x 91 24 - 6 11 + - = | x:dollar 91:dollar 24:dollar -:dollar 6:dollar 11:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 98 | x=(((91+24)-6)-11) | x 91 24 + 6 - 11 - = | x:dollar 91:dollar 24:dollar +:dollar 6:dollar -:dollar 11:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 110 | x=((91+(24+6))-11) | x 91 24 6 + + 11 - = | x:dollar 91:dollar 24:dollar 6:dollar +:dollar +:dollar 11:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 132 | x=((91+(24+6))+11) | x 91 24 6 + + 11 + = | x:dollar 91:dollar 24:dollar 6:dollar +:dollar +:dollar 11:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 50 | 84 | x=((91-24)+(6+11)) | x 91 24 - 6 11 + + = | x:dollar 91:dollar 24:dollar -:dollar 6:dollar 11:dollar +:dollar +:dollar =:dollar
