parameters: n=9 l=4 k=1 p=5 q=1 m=10
TOTAL 1000 solutions found
EXPR: 1 | POS | INT | 0 | 41 | 41 | x=(17+(48+(25-49))) | x 17 48 25 49 - + + = | x:dollar 17:dollar 48:dollar 25:dollar 49:dollar -:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 139 | x=(17+(48+(25+49))) | x 17 48 25 49 + + + = | x:dollar 17:dollar 48:dollar 25:dollar 49:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 89 | x=(17+(48-(25-49))) | x 17 48 25 49 - - + = | x:dollar 17:dollar 48:dollar 25:dollar 49:dollar -:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 43 | x=(17-(48-(25+49))) | x 17 48 25 49 + - - = | x:dollar 17:dollar 48:dollar 25:dollar 49:dollar +:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 43 | x=((17-(48-25))+49) | x 17 48 25 - - 49 + = | x:dollar 17:dollar 48:dollar 25:dollar -:dollar -:dollar 49:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 89 | x=((17+(48-25))+49) | x 17 48 25 - + 49 + = | x:dollar 17:dollar 48:dollar 25:dollar -:dollar +:dollar 49:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 41 | 41 | x=((17+(48+25))-49) | x 17 48 25 + + 49 - = | x:dollar 17:dollar 48:dollar 25:dollar +:dollar +:dollar 49:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 139 | x=((17+(48+25))+49) | x 17 48 25 + + 49 + = | x:dollar 17:dollar 48:dollar 25:dollar +:dollar +:dollar 49:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 43 | x=((17-48)+(25+49)) | x 17 48 - 25 49 + + = | x:dollar 17:dollar 48:dollar -:dollar 25:dollar 49:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 89 | x=(((17+48)-25)+49) | x 17 48 + 25 - 49 + = | x:dollar 17:dollar 48:dollar +:dollar 25:dollar -:dollar 49:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 41 | 41 | x=(((17+48)+25)-49) | x 17 48 + 25 + 49 - = | x:dollar 17:dollar 48:dollar +:dollar 25:dollar +:dollar 49:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 43 | x=(((17-48)+25)+49) | x 17 48 - 25 + 49 + = | x:dollar 17:dollar 48:dollar -:dollar 25:dollar +:dollar 49:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 139 | x=(17+((48+25)+49)) | x 17 48 25 + 49 + + = | x:dollar 17:dollar 48:dollar 25:dollar +:dollar 49:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 43 | x=(17-((48-25)-49)) | x 17 48 25 - 49 - - = | x:dollar 17:dollar 48:dollar 25:dollar -:dollar 49:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 89 | x=(17+((48-25)+49)) | x 17 48 25 - 49 + + = | x:dollar 17:dollar 48:dollar 25:dollar -:dollar 49:dollar +:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 41 | 41 | x=(17+((48+25)-49)) | x 17 48 25 + 49 - + = | x:dollar 17:dollar 48:dollar 25:dollar +:dollar 49:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 139 | x=(((17+48)+25)+49) | x 17 48 + 25 + 49 + = | x:dollar 17:dollar 48:dollar +:dollar 25:dollar +:dollar 49:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 89 | x=((17+48)-(25-49)) | x 17 48 + 25 49 - - = | x:dollar 17:dollar 48:dollar +:dollar 25:dollar 49:dollar -:dollar -:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 41 | 41 | x=((17+48)+(25-49)) | x 17 48 + 25 49 - + = | x:dollar 17:dollar 48:dollar +:dollar 25:dollar 49:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 41 | 139 | x=((17+48)+(25+49)) | x 17 48 + 25 49 + + = | x:dollar 17:dollar 48:dollar +:dollar 25:dollar 49:dollar +:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 41 | 41 | x=(17+(48+(25-49))) | x 17 48 25 49 - + + = | x:dollar 17:dollar 48:dollar 25:dollar 49:dollar -:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 139 | x=(17+(48+(25+49))) | x 17 48 25 49 + + + = | x:dollar 17:dollar 48:dollar 25:dollar 49:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 89 | x=(17+(48-(25-49))) | x 17 48 25 49 - - + = | x:dollar 17:dollar 48:dollar 25:dollar 49:dollar -:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 43 | x=(17-(48-(25+49))) | x 17 48 25 49 + - - = | x:dollar 17:dollar 48:dollar 25:dollar 49:dollar +:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 43 | x=((17-(48-25))+49) | x 17 48 25 - - 49 + = | x:dollar 17:dollar 48:dollar 25:dollar -:dollar -:dollar 49:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 89 | x=((17+(48-25))+49) | x 17 48 25 - + 49 + = | x:dollar 17:dollar 48:dollar 25:dollar -:dollar +:dollar 49:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 139 | x=((17+(48+25))+49) | x 17 48 25 + + 49 + = | x:dollar 17:dollar 48:dollar 25:dollar +:dollar +:dollar 49:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 43 | x=((17-48)+(25+49)) | x 17 48 - 25 49 + + = | x:dollar 17:dollar 48:dollar -:dollar 25:dollar 49:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 89 | x=(((17+48)-25)+49) | x 17 48 + 25 - 49 + = | x:dollar 17:dollar 48:dollar +:dollar 25:dollar -:dollar 49:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 41 | 41 | x=(((17+48)+25)-49) | x 17 48 + 25 + 49 - = | x:dollar 17:dollar 48:dollar +:dollar 25:dollar +:dollar 49:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 43 | x=(((17-48)+25)+49) | x 17 48 - 25 + 49 + = | x:dollar 17:dollar 48:dollar -:dollar 25:dollar +:dollar 49:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 41 | 41 | x=((17+(48+25))-49) | x 17 48 25 + + 49 - = | x:dollar 17:dollar 48:dollar 25:dollar +:dollar +:dollar 49:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 139 | x=(17+((48+25)+49)) | x 17 48 25 + 49 + + = | x:dollar 17:dollar 48:dollar 25:dollar +:dollar 49:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 89 | x=(17+((48-25)+49)) | x 17 48 25 - 49 + + = | x:dollar 17:dollar 48:dollar 25:dollar -:dollar 49:dollar +:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 41 | 41 | x=(17+((48+25)-49)) | x 17 48 25 + 49 - + = | x:dollar 17:dollar 48:dollar 25:dollar +:dollar 49:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 139 | x=(((17+48)+25)+49) | x 17 48 + 25 + 49 + = | x:dollar 17:dollar 48:dollar +:dollar 25:dollar +:dollar 49:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 43 | x=(17-((48-25)-49)) | x 17 48 25 - 49 - - = | x:dollar 17:dollar 48:dollar 25:dollar -:dollar 49:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 89 | x=((17+48)-(25-49)) | x 17 48 + 25 49 - - = | x:dollar 17:dollar 48:dollar +:dollar 25:dollar 49:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 41 | 139 | x=((17+48)+(25+49)) | x 17 48 + 25 49 + + = | x:dollar 17:dollar 48:dollar +:dollar 25:dollar 49:dollar +:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 41 | 41 | x=((17+48)+(25-49)) | x 17 48 + 25 49 - + = | x:dollar 17:dollar 48:dollar +:dollar 25:dollar 49:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 41 | 7 | 17=(((48+25)-49)-x) | 17 48 25 + 49 - x - = | 17:dollar 48:dollar 25:dollar +:dollar 49:dollar -:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 41 | 105 | 17=(48+(25-(x-49))) | 17 48 25 x 49 - - + = | 17:dollar 48:dollar 25:dollar x:dollar 49:dollar -:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 41 | 7 | 17=(((48+25)-x)-49) | 17 48 25 + x - 49 - = | 17:dollar 48:dollar 25:dollar +:dollar x:dollar -:dollar 49:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 41 | 7 | 17=(48+((25-49)-x)) | 17 48 25 49 - x - + = | 17:dollar 48:dollar 25:dollar 49:dollar -:dollar x:dollar -:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 41 | 41 | 17=((x-48)-(25-49)) | 17 x 48 - 25 49 - - = | 17:dollar x:dollar 48:dollar -:dollar 25:dollar 49:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 41 | 43 | 17=((x+48)-(25+49)) | 17 x 48 + 25 49 + - = | 17:dollar x:dollar 48:dollar +:dollar 25:dollar 49:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 41 | 89 | 17=((x-48)+(25-49)) | 17 x 48 - 25 49 - + = | 17:dollar x:dollar 48:dollar -:dollar 25:dollar 49:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 41 | 43 | 17=(48+((x-25)-49)) | 17 48 x 25 - 49 - + = | 17:dollar 48:dollar x:dollar 25:dollar -:dollar 49:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 41 | 139 | (((x-17)-48)-25)=49 | x 17 - 48 - 25 - 49 = | x:dollar 17:dollar -:dollar 48:dollar -:dollar 25:dollar -:dollar 49:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 41 | 7 | 17=(48-(x-(25-49))) | 17 48 x 25 49 - - - = | 17:dollar 48:dollar x:dollar 25:dollar 49:dollar -:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 41 | 55 | 17=(48-((x+25)-49)) | 17 48 x 25 + 49 - - = | 17:dollar 48:dollar x:dollar 25:dollar +:dollar 49:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 41 | 9 | (((17+48)-25)+x)=49 | 17 48 + 25 - x + 49 = | 17:dollar 48:dollar +:dollar 25:dollar -:dollar x:dollar +:dollar 49:dollar =:dollar
