0 1:0.772172280083349 2:0 3:0 4:1 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:1 17:0 
1 1:0.7687723815053125 2:0 3:1 4:0 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:1 17:0 
1 1:0.1351336442656641 2:0 3:0 4:1 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:1 17:0 
0 1:0.7756136219997454 2:0 3:0 4:1 5:1 6:1 7:0 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 16:0 17:0 
0 1:0.509479704709579 2:1 3:1 4:0 5:1 6:1 7:0 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 16:0 17:0 
1 1:0.4282577213126019 2:0 3:1 4:0 5:1 6:1 7:0 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 16:0 17:0 
1 1:0.8828067933922293 2:0 3:1 4:0 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 
0 1:0.47406015232475623 2:0 3:0 4:1 5:1 6:1 7:0 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 
1 1:0.37467430956687775 2:0 3:0 4:1 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 
1 1:0.7983046752954178 2:0 3:1 4:0 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 
0 1:0.7393178778635673 2:0 3:0 4:1 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 
0 1:0.11592338770869275 2:1 3:1 4:0 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 
0 1:0.7620570874560618 2:0 3:0 4:1 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 
0 1:0.5355948689978481 2:1 3:1 4:0 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 
1 1:0.3018063985245073 2:0 3:1 4:0 5:1 6:1 7:0 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 
0 1:0.6200029311913808 2:0 3:0 4:1 5:1 6:0 7:0 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 16:1 17:0 
1 1:0.44434766225052685 2:0 3:1 4:0 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 16:1 17:0 
