parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 10 | 41 | 139 | x=(17+(48+(25+49))) | x 17 48 25 49 + + + = | x:dollar 17:dollar 48:dollar 25:dollar 49:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 41 | 1960 | x=((17+(48-25))*49) | x 17 48 25 - + 49 * = | x:money 17:dollar 48:dollar 25:dollar -:dollar +:dollar 49:money *:money =:money
EXPR: 0 | POS | INT | 11 | 41 | 139 | x=(17+(48+(25+49))) | x 17 48 25 49 + + + = | x:dollar 17:dollar 48:dollar 25:dollar 49:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 41 | 56 | ((17+25)*(x/48))=49 | 17 25 + x 48 / * 49 = | 17:dollar 25:dollar +:dollar x:money 48:dollar /:money *:dollar 49:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 41 | 56 | ((x/48)*(17+25))=49 | x 48 / 17 25 + * 49 = | x:money 48:dollar /:money 17:dollar 25:dollar +:dollar *:dollar 49:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 41 | 9 | ((17+(48+x))-25)=49 | 17 48 x + + 25 - 49 = | 17:dollar 48:dollar x:dollar +:dollar +:dollar 25:dollar -:dollar 49:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 41 | 105 | 17=((48+25)-(x-49)) | 17 48 25 + x 49 - - = | 17:dollar 48:dollar 25:dollar +:dollar x:dollar 49:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 41 | 8 | 17=(((48-49)*x)+25) | 17 48 49 - x * 25 + = | 17:dollar 48:dollar 49:dollar -:dollar x:money *:dollar 25:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 41 | 1266 | x=(17+((48*25)+49)) | x 17 48 25 * 49 + + = | x:dollar 17:dollar 48:money 25:dollar *:dollar 49:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 41 | 1168 | x=(17+((48*25)-49)) | x 17 48 25 * 49 - + = | x:dollar 17:dollar 48:money 25:dollar *:dollar 49:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 41 | 1266 | x=(17+((48*25)+49)) | x 17 48 25 * 49 + + = | x:dollar 17:dollar 48:money 25:dollar *:dollar 49:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 41 | 1232 | 17=(((48*25)+49)-x) | 17 48 25 * 49 + x - = | 17:dollar 48:money 25:dollar *:dollar 49:dollar +:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 41 | 760 | 17=(((48+25)+x)/49) | 17 48 25 + x + 49 / = | 17:dollar 48:dollar 25:dollar +:dollar x:dollar +:dollar 49:money /:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 41 | 906 | 17=((x-(48+25))/49) | 17 x 48 25 + - 49 / = | 17:dollar x:dollar 48:dollar 25:dollar +:dollar -:dollar 49:money /:dollar =:dollar
