parameters: n=7 l=3 k=1 p=5 q=1 m=9
TOTAL 480 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 1 | POS | INT | 0 | 39 | 39 | (11+(13+15))=x | 11 13 15 + + x = | 11:game 13:game 15:game +:game +:game x:game =:game
EXPR: 0 | POS | INT | 0 | 39 | 13 | x=(11-(13-15)) | x 11 13 15 - - = | x:game 11:game 13:game 15:game -:game -:game =:game
EXPR: 0 | POS | INT | 0 | 39 | 9 | x=(11+(13-15)) | x 11 13 15 - + = | x:game 11:game 13:game 15:game -:game +:game =:game
EXPR: 0 | POS | INT | 0 | 39 | 9 | x=((11+13)-15) | x 11 13 + 15 - = | x:game 11:game 13:game +:game 15:game -:game =:game
EXPR: 1 | POS | INT | 0 | 39 | 39 | x=((11+13)+15) | x 11 13 + 15 + = | x:game 11:game 13:game +:game 15:game +:game =:game
EXPR: 0 | POS | INT | 0 | 39 | 9 | (11+(13-15))=x | 11 13 15 - + x = | 11:game 13:game 15:game -:game +:game x:game =:game
EXPR: 1 | POS | INT | 0 | 39 | 39 | x=(11+(13+15)) | x 11 13 15 + + = | x:game 11:game 13:game 15:game +:game +:game =:game
EXPR: 0 | POS | INT | 0 | 39 | 13 | x=((11-13)+15) | x 11 13 - 15 + = | x:game 11:game 13:game -:game 15:game +:game =:game
EXPR: 0 | POS | INT | 0 | 39 | 13 | (11-(13-15))=x | 11 13 15 - - x = | 11:game 13:game 15:game -:game -:game x:game =:game
EXPR: 0 | POS | INT | 0 | 39 | 9 | ((11+13)-15)=x | 11 13 + 15 - x = | 11:game 13:game +:game 15:game -:game x:game =:game
EXPR: 0 | POS | INT | 0 | 39 | 13 | ((11-13)+15)=x | 11 13 - 15 + x = | 11:game 13:game -:game 15:game +:game x:game =:game
EXPR: 1 | POS | INT | 0 | 39 | 39 | ((11+13)+15)=x | 11 13 + 15 + x = | 11:game 13:game +:game 15:game +:game x:game =:game
EXPR: 0 | POS | INT | 2 | 39 | 17 | 11=((13-x)+15) | 11 13 x - 15 + = | 11:game 13:game x:game -:game 15:game +:game =:game
EXPR: 0 | POS | INT | 2 | 39 | 9 | x=(11-(15-13)) | x 11 15 13 - - = | x:game 11:game 15:game 13:game -:game -:game =:game
EXPR: 0 | POS | INT | 2 | 39 | 17 | 11=(13-(x-15)) | 11 13 x 15 - - = | 11:game 13:game x:game 15:game -:game -:game =:game
EXPR: 0 | POS | INT | 2 | 39 | 13 | x=(11+(15-13)) | x 11 15 13 - + = | x:game 11:game 15:game 13:game -:game +:game =:game
EXPR: 0 | POS | INT | 2 | 39 | 9 | (13+(11-15))=x | 13 11 15 - + x = | 13:game 11:game 15:game -:game +:game x:game =:game
EXPR: 1 | POS | INT | 2 | 39 | 39 | (x-(11+13))=15 | x 11 13 + - 15 = | x:game 11:game 13:game +:game -:game 15:game =:game
EXPR: 0 | POS | INT | 2 | 39 | 17 | x=(13-(11-15)) | x 13 11 15 - - = | x:game 13:game 11:game 15:game -:game -:game =:game
EXPR: 0 | POS | INT | 2 | 39 | 13 | (11+(15-13))=x | 11 15 13 - + x = | 11:game 15:game 13:game -:game +:game x:game =:game
EXPR: 0 | POS | INT | 2 | 39 | 9 | ((11-15)+13)=x | 11 15 - 13 + x = | 11:game 15:game -:game 13:game +:game x:game =:game
EXPR: 0 | POS | INT | 2 | 39 | 17 | (13-(11-15))=x | 13 11 15 - - x = | 13:game 11:game 15:game -:game -:game x:game =:game
EXPR: 0 | POS | INT | 2 | 39 | 9 | (11-(15-13))=x | 11 15 13 - - x = | 11:game 15:game 13:game -:game -:game x:game =:game
EXPR: 1 | POS | INT | 2 | 39 | 39 | (13+(11+15))=x | 13 11 15 + + x = | 13:game 11:game 15:game +:game +:game x:game =:game
EXPR: 0 | POS | INT | 2 | 39 | 17 | ((13-11)+15)=x | 13 11 - 15 + x = | 13:game 11:game -:game 15:game +:game x:game =:game
