1 1:1 2:0.20445754065855481 3:0.3333333333333333 4:1 5:0 6:0 7:1 8:0 9:0 10:0 11:0 12:0 13:1 14:1 15:0 16:-1 17:-1 18:-1 19:-1 20:-1 21:1 22:0 23:0 24:0.000125 25:0 26:1 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0.1957564729671442 53:0.607043828596713 54:0.6267217208682151 55:0.6563774155260674 56:0.5 57:0.5577734713497952 58:0.5233456403081337 59:0.5 60:0.5 61:0.617245385686066 62:0.6876465059093766 63:0.70838596586038 64:0.5692517375501781 65:0.5 66:1 67:0.5 68:0.5973688621439767 69:0.5 70:0.5811526154815995 71:0.611137966799573 72:1 73:0.7110550340917559 74:0.6959949674278685 75:0.6846835705702682 76:0.7085848622356106 
-1 1:1 2:0.7325954189554995 3:0.3333333333333333 4:1 5:0 6:0 7:0 8:0 9:1 10:0 11:0 12:0 13:1 14:1 15:0 16:-1 17:-1 18:-1 19:-1 20:-1 21:1 22:0 23:0 24:0.00011116051578479324 25:0 26:1 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0.14800400888658408 53:0.5103864223005199 54:0.5763785548030264 55:0.5711003125832678 56:0.5 57:0.5 58:0.5939517300936757 59:0.5729717728534833 60:0.5 61:0.5050424974372756 62:0.5515819430924429 63:0.728090750079668 64:0.5917806850848999 65:0 66:0.5 67:0.5876028204815266 68:0.5962846535468412 69:0.6061479218472771 70:0.5515819430924429 71:0.5515819430924429 72:0.6224964761253446 73:0.7177485733328628 74:0.5726707012896084 75:0.5980425737457671 76:0.6196664887721092 
1 1:1 2:0.8548678293789758 3:0.3333333333333333 4:1 5:0 6:0 7:1 8:0 9:0 10:0 11:0 12:1 13:0 14:0 15:1 16:-1 17:-1 18:-1 19:-1 20:-1 21:1 22:0 23:0 24:0.000125 25:0 26:1 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0.1957564729671442 53:0.607043828596713 54:0.6267217208682151 55:0.6563774155260674 56:0.5 57:0.5577734713497952 58:0.5233456403081337 59:0.5 60:0.5 61:0.617245385686066 62:0.6876465059093766 63:0.70838596586038 64:0.5692517375501781 65:0.5 66:1 67:0.5 68:0.5973688621439767 69:0.5 70:0.5811526154815995 71:0.611137966799573 72:1 73:0.7110550340917559 74:0.6959949674278685 75:0.6846835705702682 76:0.7085848622356106 
1 1:1 2:0.8447814454220686 3:1 4:0 5:1 6:0 7:1 8:0 9:0 10:0 11:0 12:0 13:1 14:1 15:0 16:-1 17:-1 18:-1 19:-1 20:-1 21:1 22:0 23:0 24:0.00010006003602161297 25:1 26:0 27:0 28:0 29:1 30:0 31:0 32:0 33:0 34:1 35:1 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:1 53:0.6553488955579494 54:0.5616212450978857 55:0.7313576519704922 56:0.62703865963179 57:0.6205333942611899 58:0.6393277850627613 59:0.6035440750704084 60:0.5262694268381999 61:0.6455989729987797 62:0.5292660294000701 63:1 64:0.6270476656467127 65:0.5 66:0.6024026113833607 67:0.62703865963179 68:0.5682579248022847 69:0.6308303126598502 70:0.5292660294000701 71:0.6407201071694983 72:0.7208138381606585 73:0.7597396727417649 74:0.6856832288726329 75:0.7119776930283281 76:1 
-1 1:1 2:0.023328056911420595 3:0.08333333333333333 4:0 5:1 6:0 7:1 8:0 9:0 10:0 11:0 12:0 13:1 14:1 15:0 16:-1 17:-1 18:-1 19:-1 20:-1 21:1 22:0 23:0 24:0.00010006003602161297 25:1 26:0 27:0 28:0 29:1 30:0 31:0 32:0 33:0 34:1 35:1 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:1 53:0.6553488955579494 54:0.5616212450978857 55:0.7313576519704922 56:0.62703865963179 57:0.6205333942611899 58:0.6393277850627613 59:0.6035440750704084 60:0.5262694268381999 61:0.6455989729987797 62:0.5292660294000701 63:1 64:0.6270476656467127 65:0.5 66:0.6024026113833607 67:0.62703865963179 68:0.5682579248022847 69:0.6308303126598502 70:0.5292660294000701 71:0.6407201071694983 72:0.7208138381606585 73:0.7597396727417649 74:0.6856832288726329 75:0.7119776930283281 76:1 
1 1:1 2:0.8447814454220686 3:0.5 4:0 5:1 6:0 7:1 8:0 9:0 10:0 11:0 12:0 13:1 14:1 15:0 16:-1 17:-1 18:-1 19:-1 20:-1 21:1 22:0 23:0 24:0.00010006003602161297 25:1 26:0 27:0 28:0 29:1 30:0 31:0 32:0 33:0 34:1 35:1 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:1 53:0.6553488955579494 54:0.5616212450978857 55:0.7313576519704922 56:0.62703865963179 57:0.6205333942611899 58:0.6393277850627613 59:0.6035440750704084 60:0.5262694268381999 61:0.6455989729987797 62:0.5292660294000701 63:1 64:0.6270476656467127 65:0.5 66:0.6024026113833607 67:0.62703865963179 68:0.5682579248022847 69:0.6308303126598502 70:0.5292660294000701 71:0.6407201071694983 72:0.7208138381606585 73:0.7597396727417649 74:0.6856832288726329 75:0.7119776930283281 76:1 
-1 1:1 2:0.5946034742446548 3:0.043478260869565216 4:0 5:0 6:1 7:0 8:1 9:0 10:0 11:0 12:0 13:1 14:0 15:0 16:-1 17:-1 18:-1 19:-1 20:0 21:-1 22:0 23:0 24:0.00011123470522803115 25:0 26:1 27:0 28:0 29:1 30:1 31:0 32:0 33:0 34:0 35:1 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:1 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:1 53:1 54:1 55:1 56:1 57:1 58:1 59:1 60:1 61:1 62:1 63:1 64:1 65:1 66:1 67:1 68:1 69:1 70:1 71:1 72:1 73:1 74:1 75:1 76:1 
1 1:1 2:0.8447814454220686 3:0.047619047619047616 4:0 5:1 6:0 7:1 8:0 9:0 10:0 11:0 12:0 13:1 14:1 15:0 16:-1 17:-1 18:-1 19:-1 20:-1 21:1 22:0 23:0 24:0.00010006003602161297 25:1 26:0 27:0 28:0 29:1 30:0 31:0 32:0 33:0 34:1 35:1 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:1 53:0.6553488955579494 54:0.5616212450978857 55:0.7313576519704922 56:0.62703865963179 57:0.6205333942611899 58:0.6393277850627613 59:0.6035440750704084 60:0.5262694268381999 61:0.6455989729987797 62:0.5292660294000701 63:1 64:0.6270476656467127 65:0.5 66:0.6024026113833607 67:0.62703865963179 68:0.5682579248022847 69:0.6308303126598502 70:0.5292660294000701 71:0.6407201071694983 72:0.7208138381606585 73:0.7597396727417649 74:0.6856832288726329 75:0.7119776930283281 76:1 
1 1:1 2:0.8447814454220686 3:0.03125 4:0 5:1 6:0 7:1 8:0 9:0 10:0 11:0 12:0 13:1 14:1 15:0 16:-1 17:-1 18:-1 19:-1 20:-1 21:1 22:0 23:0 24:0.00010006003602161297 25:1 26:0 27:0 28:0 29:1 30:0 31:0 32:0 33:0 34:1 35:1 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:1 53:0.6553488955579494 54:0.5616212450978857 55:0.7313576519704922 56:0.62703865963179 57:0.6205333942611899 58:0.6393277850627613 59:0.6035440750704084 60:0.5262694268381999 61:0.6455989729987797 62:0.5292660294000701 63:1 64:0.6270476656467127 65:0.5 66:0.6024026113833607 67:0.62703865963179 68:0.5682579248022847 69:0.6308303126598502 70:0.5292660294000701 71:0.6407201071694983 72:0.7208138381606585 73:0.7597396727417649 74:0.6856832288726329 75:0.7119776930283281 76:1 
-1 1:1 2:0.023328056911420595 3:0.047619047619047616 4:0 5:1 6:0 7:1 8:0 9:0 10:0 11:0 12:0 13:1 14:1 15:0 16:-1 17:-1 18:-1 19:-1 20:-1 21:1 22:0 23:0 24:0.00010006003602161297 25:1 26:0 27:0 28:0 29:1 30:0 31:0 32:0 33:0 34:1 35:1 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:1 53:0.6553488955579494 54:0.5616212450978857 55:0.7313576519704922 56:0.62703865963179 57:0.6205333942611899 58:0.6393277850627613 59:0.6035440750704084 60:0.5262694268381999 61:0.6455989729987797 62:0.5292660294000701 63:1 64:0.6270476656467127 65:0.5 66:0.6024026113833607 67:0.62703865963179 68:0.5682579248022847 69:0.6308303126598502 70:0.5292660294000701 71:0.6407201071694983 72:0.7208138381606585 73:0.7597396727417649 74:0.6856832288726329 75:0.7119776930283281 76:1 
