parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 0 | 3 | 3 | (7-4)=x | 7 4 - x = | 7:seashell 4:seashell -:seashell x:seashell =:seashell
EXPR: 1 | POS | INT | 0 | 3 | 3 | x=(7-4) | x 7 4 - = | x:seashell 7:seashell 4:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 0 | 3 | 11 | x=(7+4) | x 7 4 + = | x:seashell 7:seashell 4:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 0 | 3 | 11 | (7+4)=x | 7 4 + x = | 7:seashell 4:seashell +:seashell x:seashell =:seashell
EXPR: 1 | POS | INT | 1 | 3 | 3 | x=(7-4) | x 7 4 - = | x:seashell 7:seashell 4:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 1 | 3 | 11 | x=(7+4) | x 7 4 + = | x:seashell 7:seashell 4:seashell +:seashell =:seashell
EXPR: 1 | POS | INT | 1 | 3 | 3 | (7-4)=x | 7 4 - x = | 7:seashell 4:seashell -:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 1 | 3 | 11 | (7+4)=x | 7 4 + x = | 7:seashell 4:seashell +:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 2 | 3 | 11 | (x-7)=4 | x 7 - 4 = | x:seashell 7:seashell -:seashell 4:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 3 | 3 | (7-x)=4 | 7 x - 4 = | 7:seashell x:seashell -:seashell 4:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 3 | 3 | 7=(x+4) | 7 x 4 + = | 7:seashell x:seashell 4:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 2 | 3 | 11 | 7=(x-4) | 7 x 4 - = | 7:seashell x:seashell 4:seashell -:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 3 | 3 | 7=(4+x) | 7 4 x + = | 7:seashell 4:seashell x:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 4 | 3 | 11 | (x-4)=7 | x 4 - 7 = | x:seashell 4:seashell -:seashell 7:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 3 | 3 | (x+4)=7 | x 4 + 7 = | x:seashell 4:seashell +:seashell 7:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 3 | 3 | (4+x)=7 | 4 x + 7 = | 4:seashell x:seashell +:seashell 7:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 3 | 3 | 4=(7-x) | 4 7 x - = | 4:seashell 7:seashell x:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 4 | 3 | 11 | 4=(x-7) | 4 x 7 - = | 4:seashell x:seashell 7:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 3 | 28 | (7*4)=x | 7 4 * x = | 7:seashell 4:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 3 | 28 | x=(7*4) | x 7 4 * = | x:seashell 7:NONE 4:seashell *:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 3 | 28 | (7*4)=x | 7 4 * x = | 7:NONE 4:seashell *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 3 | 28 | (7*4)=x | 7 4 * x = | 7:NONE 4:seashell *:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 3 | 28 | x=(7*4) | x 7 4 * = | x:NONE 7:seashell 4:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 3 | 28 | (7*4)=x | 7 4 * x = | 7:seashell 4:NONE *:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 3 | 28 | x=(7*4) | x 7 4 * = | x:seashell 7:seashell 4:NONE *:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 3 | 28 | x=(7*4) | x 7 4 * = | x:NONE 7:NONE 4:seashell *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 3 | 28 | (7*4)=x | 7 4 * x = | 7:NONE 4:seashell *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 3 | 28 | x=(7*4) | x 7 4 * = | x:seashell 7:NONE 4:seashell *:seashell =:seashell
EXPR: 0 | POS | INT | 11 | 3 | 28 | x=(7*4) | x 7 4 * = | x:NONE 7:NONE 4:seashell *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 3 | 28 | (7*4)=x | 7 4 * x = | 7:NONE 4:seashell *:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 11 | 3 | 28 | x=(7*4) | x 7 4 * = | x:NONE 7:seashell 4:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 3 | 28 | (7*4)=x | 7 4 * x = | 7:seashell 4:NONE *:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 11 | 3 | 28 | (7*4)=x | 7 4 * x = | 7:seashell 4:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 3 | 28 | x=(7*4) | x 7 4 * = | x:seashell 7:seashell 4:NONE *:seashell =:seashell
EXPR: 0 | POS | INT | 12 | 3 | 28 | 7=(x/4) | 7 x 4 / = | 7:seashell x:seashell 4:NONE /:seashell =:seashell
EXPR: 0 | POS | INT | 12 | 3 | 28 | (x/7)=4 | x 7 / 4 = | x:seashell 7:NONE /:seashell 4:seashell =:seashell
EXPR: 0 | POS | INT | 12 | 3 | 28 | 7=(x/4) | 7 x 4 / = | 7:NONE x:NONE 4:seashell /:NONE =:NONE
EXPR: 0 | POS | INT | 12 | 3 | 28 | (x/7)=4 | x 7 / 4 = | x:NONE 7:seashell /:NONE 4:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 3 | 28 | (x/4)=7 | x 4 / 7 = | x:NONE 4:seashell /:NONE 7:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 3 | 28 | (x/4)=7 | x 4 / 7 = | x:seashell 4:NONE /:seashell 7:seashell =:seashell
EXPR: 0 | POS | INT | 14 | 3 | 28 | 4=(x/7) | 4 x 7 / = | 4:NONE x:NONE 7:seashell /:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 3 | 28 | 4=(x/7) | 4 x 7 / = | 4:seashell x:seashell 7:NONE /:seashell =:seashell
EXPR: 1 | POS | INT | 20 | 3 | 3 | x=(7-4) | x 7 4 - = | x:NONE 7:NONE 4:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 20 | 3 | 11 | x=(7+4) | x 7 4 + = | x:NONE 7:NONE 4:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 20 | 3 | 3 | (7-4)=x | 7 4 - x = | 7:NONE 4:NONE -:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 20 | 3 | 11 | (7+4)=x | 7 4 + x = | 7:NONE 4:NONE +:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 3 | 11 | x=(7+4) | x 7 4 + = | x:NONE 7:NONE 4:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 3 | 11 | (7+4)=x | 7 4 + x = | 7:NONE 4:NONE +:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 21 | 3 | 3 | x=(7-4) | x 7 4 - = | x:NONE 7:NONE 4:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 21 | 3 | 3 | (7-4)=x | 7 4 - x = | 7:NONE 4:NONE -:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 3 | 11 | (x-7)=4 | x 7 - 4 = | x:NONE 7:NONE -:NONE 4:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 3 | 3 | (7-x)=4 | 7 x - 4 = | 7:NONE x:NONE -:NONE 4:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 3 | 3 | 7=(x+4) | 7 x 4 + = | 7:NONE x:NONE 4:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 3 | 11 | 7=(x-4) | 7 x 4 - = | 7:NONE x:NONE 4:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 3 | 3 | 7=(4+x) | 7 4 x + = | 7:NONE 4:NONE x:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 3 | 11 | (x-4)=7 | x 4 - 7 = | x:NONE 4:NONE -:NONE 7:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 3 | 3 | (4+x)=7 | 4 x + 7 = | 4:NONE x:NONE +:NONE 7:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 3 | 3 | (x+4)=7 | x 4 + 7 = | x:NONE 4:NONE +:NONE 7:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 3 | 3 | 4=(7-x) | 4 7 x - = | 4:NONE 7:NONE x:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 3 | 11 | 4=(x-7) | 4 x 7 - = | 4:NONE x:NONE 7:NONE -:NONE =:NONE
NET 60 non-negative, integer-valued solutions found out of 136 total solutions
