parameters: n=5 l=2 k=1 p=5 q=3 m=8
TOTAL 324 solutions found
EXPR: 1 | POS | INT | 10 | 108 | 108 | (9*12)=x | 9 12 * x = | 9:dozen 12:golf *:golf x:golf =:golf
EXPR: 1 | POS | INT | 10 | 108 | 108 | x=(9*12) | x 9 12 * = | x:golf 9:golf 12:ball *:golf =:golf
EXPR: 1 | POS | INT | 10 | 108 | 108 | x=(9*12) | x 9 12 * = | x:ball 9:dozen 12:ball *:ball =:ball
EXPR: 1 | POS | INT | 10 | 108 | 108 | x=(9*12) | x 9 12 * = | x:dozen 9:dozen 12:ball *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 108 | 108 | x=(9*12) | x 9 12 * = | x:golf 9:dozen 12:golf *:golf =:golf
EXPR: 1 | POS | INT | 10 | 108 | 108 | (9*12)=x | 9 12 * x = | 9:dozen 12:ball *:ball x:ball =:ball
EXPR: 1 | POS | INT | 10 | 108 | 108 | (9*12)=x | 9 12 * x = | 9:dozen 12:ball *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 108 | 108 | (9*12)=x | 9 12 * x = | 9:golf 12:ball *:golf x:golf =:golf
EXPR: 1 | POS | INT | 11 | 108 | 108 | (9*12)=x | 9 12 * x = | 9:dozen 12:golf *:golf x:golf =:golf
EXPR: 1 | POS | INT | 11 | 108 | 108 | x=(9*12) | x 9 12 * = | x:golf 9:golf 12:ball *:golf =:golf
EXPR: 1 | POS | INT | 11 | 108 | 108 | x=(9*12) | x 9 12 * = | x:dozen 9:dozen 12:ball *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 108 | 108 | x=(9*12) | x 9 12 * = | x:ball 9:dozen 12:ball *:ball =:ball
EXPR: 1 | POS | INT | 11 | 108 | 108 | (9*12)=x | 9 12 * x = | 9:dozen 12:ball *:ball x:ball =:ball
EXPR: 1 | POS | INT | 11 | 108 | 108 | x=(9*12) | x 9 12 * = | x:golf 9:dozen 12:golf *:golf =:golf
EXPR: 1 | POS | INT | 11 | 108 | 108 | (9*12)=x | 9 12 * x = | 9:dozen 12:ball *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 108 | 108 | (9*12)=x | 9 12 * x = | 9:golf 12:ball *:golf x:golf =:golf
EXPR: 1 | POS | INT | 12 | 108 | 108 | 9=(x/12) | 9 x 12 / = | 9:dozen x:dozen 12:ball /:dozen =:dozen
EXPR: 1 | POS | INT | 12 | 108 | 108 | (x/9)=12 | x 9 / 12 = | x:ball 9:dozen /:ball 12:ball =:ball
EXPR: 1 | POS | INT | 12 | 108 | 108 | (x/9)=12 | x 9 / 12 = | x:golf 9:dozen /:golf 12:golf =:golf
EXPR: 1 | POS | INT | 12 | 108 | 108 | 9=(x/12) | 9 x 12 / = | 9:golf x:golf 12:ball /:golf =:golf
EXPR: 1 | POS | INT | 14 | 108 | 108 | (x/12)=9 | x 12 / 9 = | x:golf 12:ball /:golf 9:golf =:golf
EXPR: 1 | POS | INT | 14 | 108 | 108 | 12=(x/9) | 12 x 9 / = | 12:golf x:golf 9:dozen /:golf =:golf
EXPR: 1 | POS | INT | 14 | 108 | 108 | (x/12)=9 | x 12 / 9 = | x:dozen 12:ball /:dozen 9:dozen =:dozen
EXPR: 1 | POS | INT | 14 | 108 | 108 | 12=(x/9) | 12 x 9 / = | 12:ball x:ball 9:dozen /:ball =:ball
EXPR: 1 | POS | INT | 20 | 108 | 108 | (9*12)=x | 9 12 * x = | 9:golf 12:ball *:ball x:ball =:ball
EXPR: 1 | POS | INT | 20 | 108 | 108 | x=(9*12) | x 9 12 * = | x:ball 9:golf 12:ball *:ball =:ball
