parameters: n=7 l=3 k=1 p=5 q=1 m=9
TOTAL 480 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 1 | POS | FRA | 0 | 25.62 | 25.62 | (14.88+(4.88+5.86))=x | 14.88 4.88 5.86 + + x = | 14.88:dollar 4.88:dollar 5.86:dollar +:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 25.62 | 15.86 | x=(14.88-(4.88-5.86)) | x 14.88 4.88 5.86 - - = | x:dollar 14.88:dollar 4.88:dollar 5.86:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 25.62 | 13.9 | x=(14.88+(4.88-5.86)) | x 14.88 4.88 5.86 - + = | x:dollar 14.88:dollar 4.88:dollar 5.86:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 25.62 | 4.14 | x=(14.88-(4.88+5.86)) | x 14.88 4.88 5.86 + - = | x:dollar 14.88:dollar 4.88:dollar 5.86:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 25.62 | 4.14 | x=((14.88-4.88)-5.86) | x 14.88 4.88 - 5.86 - = | x:dollar 14.88:dollar 4.88:dollar -:dollar 5.86:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 25.62 | 13.9 | x=((14.88+4.88)-5.86) | x 14.88 4.88 + 5.86 - = | x:dollar 14.88:dollar 4.88:dollar +:dollar 5.86:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 0 | 25.62 | 25.62 | x=((14.88+4.88)+5.86) | x 14.88 4.88 + 5.86 + = | x:dollar 14.88:dollar 4.88:dollar +:dollar 5.86:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 25.62 | 13.9 | (14.88+(4.88-5.86))=x | 14.88 4.88 5.86 - + x = | 14.88:dollar 4.88:dollar 5.86:dollar -:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 25.62 | 4.14 | (14.88-(4.88+5.86))=x | 14.88 4.88 5.86 + - x = | 14.88:dollar 4.88:dollar 5.86:dollar +:dollar -:dollar x:dollar =:dollar
EXPR: 1 | POS | FRA | 0 | 25.62 | 25.62 | x=(14.88+(4.88+5.86)) | x 14.88 4.88 5.86 + + = | x:dollar 14.88:dollar 4.88:dollar 5.86:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 25.62 | 15.86 | x=((14.88-4.88)+5.86) | x 14.88 4.88 - 5.86 + = | x:dollar 14.88:dollar 4.88:dollar -:dollar 5.86:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 25.62 | 15.86 | (14.88-(4.88-5.86))=x | 14.88 4.88 5.86 - - x = | 14.88:dollar 4.88:dollar 5.86:dollar -:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 25.62 | 13.9 | ((14.88+4.88)-5.86)=x | 14.88 4.88 + 5.86 - x = | 14.88:dollar 4.88:dollar +:dollar 5.86:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 25.62 | 15.86 | ((14.88-4.88)+5.86)=x | 14.88 4.88 - 5.86 + x = | 14.88:dollar 4.88:dollar -:dollar 5.86:dollar +:dollar x:dollar =:dollar
