parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 28 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | FRA | 0 | 25.31 | 0.77 | (13.04-12.27)=x | 13.04 12.27 - x = | 13.04:dollar 12.27:dollar -:dollar x:dollar =:dollar
EXPR: 1 | POS | FRA | 0 | 25.31 | 25.31 | x=(13.04+12.27) | x 13.04 12.27 + = | x:dollar 13.04:dollar 12.27:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 25.31 | 0.77 | x=(13.04-12.27) | x 13.04 12.27 - = | x:dollar 13.04:dollar 12.27:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 0 | 25.31 | 25.31 | (13.04+12.27)=x | 13.04 12.27 + x = | 13.04:dollar 12.27:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 25.31 | 0.77 | 13.04=(12.27+x) | 13.04 12.27 x + = | 13.04:dollar 12.27:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 25.31 | 0.77 | 13.04=(x+12.27) | 13.04 x 12.27 + = | 13.04:dollar x:dollar 12.27:dollar +:dollar =:dollar
EXPR: 1 | POS | FRA | 2 | 25.31 | 25.31 | 13.04=(x-12.27) | 13.04 x 12.27 - = | 13.04:dollar x:dollar 12.27:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 25.31 | 0.77 | (13.04-x)=12.27 | 13.04 x - 12.27 = | 13.04:dollar x:dollar -:dollar 12.27:dollar =:dollar
EXPR: 1 | POS | FRA | 2 | 25.31 | 25.31 | (x-13.04)=12.27 | x 13.04 - 12.27 = | x:dollar 13.04:dollar -:dollar 12.27:dollar =:dollar
EXPR: 1 | POS | FRA | 4 | 25.31 | 25.31 | 12.27=(x-13.04) | 12.27 x 13.04 - = | 12.27:dollar x:dollar 13.04:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 25.31 | 0.77 | (12.27+x)=13.04 | 12.27 x + 13.04 = | 12.27:dollar x:dollar +:dollar 13.04:dollar =:dollar
EXPR: 1 | POS | FRA | 4 | 25.31 | 25.31 | (x-12.27)=13.04 | x 12.27 - 13.04 = | x:dollar 12.27:dollar -:dollar 13.04:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 25.31 | 0.77 | (x+12.27)=13.04 | x 12.27 + 13.04 = | x:dollar 12.27:dollar +:dollar 13.04:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 25.31 | 0.77 | 12.27=(13.04-x) | 12.27 13.04 x - = | 12.27:dollar 13.04:dollar x:dollar -:dollar =:dollar
NET 14 unique, non-negative solutions found out of 28 total solutions
