parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 28 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 1 | POS | INT | 0 | 14 | 14 | (66-52)=x | 66 52 - x = | 66:seashell 52:seashell -:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 0 | 14 | 118 | x=(66+52) | x 66 52 + = | x:seashell 66:seashell 52:seashell +:seashell =:seashell
EXPR: 1 | POS | INT | 0 | 14 | 14 | x=(66-52) | x 66 52 - = | x:seashell 66:seashell 52:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 0 | 14 | 118 | (66+52)=x | 66 52 + x = | 66:seashell 52:seashell +:seashell x:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 14 | 14 | 66=(52+x) | 66 52 x + = | 66:seashell 52:seashell x:seashell +:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 14 | 14 | 66=(x+52) | 66 x 52 + = | 66:seashell x:seashell 52:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 2 | 14 | 118 | 66=(x-52) | 66 x 52 - = | 66:seashell x:seashell 52:seashell -:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 14 | 14 | (66-x)=52 | 66 x - 52 = | 66:seashell x:seashell -:seashell 52:seashell =:seashell
EXPR: 0 | POS | INT | 2 | 14 | 118 | (x-66)=52 | x 66 - 52 = | x:seashell 66:seashell -:seashell 52:seashell =:seashell
EXPR: 0 | POS | INT | 4 | 14 | 118 | 52=(x-66) | 52 x 66 - = | 52:seashell x:seashell 66:seashell -:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 14 | 14 | (52+x)=66 | 52 x + 66 = | 52:seashell x:seashell +:seashell 66:seashell =:seashell
EXPR: 0 | POS | INT | 4 | 14 | 118 | (x-52)=66 | x 52 - 66 = | x:seashell 52:seashell -:seashell 66:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 14 | 14 | (x+52)=66 | x 52 + 66 = | x:seashell 52:seashell +:seashell 66:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 14 | 14 | 52=(66-x) | 52 66 x - = | 52:seashell 66:seashell x:seashell -:seashell =:seashell
NET 14 unique, non-negative, integer-valued solutions found out of 28 total solutions
