parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 28 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | INT | 0 | 6 | 24 | x=(9+15) | x 9 15 + = | x:orchid 9:orchid 15:orchid +:orchid =:orchid
EXPR: 0 | POS | INT | 0 | 6 | 24 | (9+15)=x | 9 15 + x = | 9:orchid 15:orchid +:orchid x:orchid =:orchid
EXPR: 1 | POS | INT | 2 | 6 | 6 | (x+9)=15 | x 9 + 15 = | x:orchid 9:orchid +:orchid 15:orchid =:orchid
EXPR: 1 | POS | INT | 2 | 6 | 6 | 9=(15-x) | 9 15 x - = | 9:orchid 15:orchid x:orchid -:orchid =:orchid
EXPR: 1 | POS | INT | 2 | 6 | 6 | x=(15-9) | x 15 9 - = | x:orchid 15:orchid 9:orchid -:orchid =:orchid
EXPR: 1 | POS | INT | 2 | 6 | 6 | (15-9)=x | 15 9 - x = | 15:orchid 9:orchid -:orchid x:orchid =:orchid
EXPR: 0 | POS | INT | 2 | 6 | 24 | 9=(x-15) | 9 x 15 - = | 9:orchid x:orchid 15:orchid -:orchid =:orchid
EXPR: 1 | POS | INT | 2 | 6 | 6 | (9+x)=15 | 9 x + 15 = | 9:orchid x:orchid +:orchid 15:orchid =:orchid
EXPR: 0 | POS | INT | 2 | 6 | 24 | (x-9)=15 | x 9 - 15 = | x:orchid 9:orchid -:orchid 15:orchid =:orchid
EXPR: 0 | POS | INT | 4 | 6 | 24 | 15=(x-9) | 15 x 9 - = | 15:orchid x:orchid 9:orchid -:orchid =:orchid
EXPR: 1 | POS | INT | 4 | 6 | 6 | (15-x)=9 | 15 x - 9 = | 15:orchid x:orchid -:orchid 9:orchid =:orchid
EXPR: 0 | POS | INT | 4 | 6 | 24 | (x-15)=9 | x 15 - 9 = | x:orchid 15:orchid -:orchid 9:orchid =:orchid
EXPR: 1 | POS | INT | 4 | 6 | 6 | 15=(9+x) | 15 9 x + = | 15:orchid 9:orchid x:orchid +:orchid =:orchid
EXPR: 1 | POS | INT | 4 | 6 | 6 | 15=(x+9) | 15 x 9 + = | 15:orchid x:orchid 9:orchid +:orchid =:orchid
NET 14 unique, non-negative, integer-valued solutions found out of 28 total solutions
