-1 1:0.2889403826927478 2:0.6769045989082451 3:0.022455391778812152 4:0.011699626620194876 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.1 22:0.4512697326054967 23:1 24:0 25:1 26:1 
1 1:0.12225789412448214 2:0.8507620043367163 3:0.01665697758381846 4:0.010323123954983091 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.0 22:0.28358733477890546 23:1 24:1 25:1 26:1 
1 1:0.2889403826927478 2:0.6769045989082451 3:0.022455391778812152 4:0.011699626620194876 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.1 22:0.1926269217951652 23:1 24:0 25:1 26:1 
-1 1:0.12225789412448214 2:0.8507620043367163 3:0.01665697758381846 4:0.010323123954983091 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.0 22:0.04075263137482738 23:1 24:1 25:1 26:1 
-1 1:0.32115409016885227 2:0.5041649573334155 3:0.03668267080380464 4:0.1379982816939277 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.1 22:0.33610997155561034 23:1 24:1 25:1 26:1 
1 1:0.865619161945744 2:0.08455004364228384 3:0.012375351503789768 4:0.037455442908182694 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.0 22:0.2885397206485813 23:1 24:0 25:1 26:1 
-1 1:0.32115409016885227 2:0.5041649573334155 3:0.03668267080380464 4:0.1379982816939277 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.1 22:0.21410272677923484 23:1 24:1 25:1 26:1 
-1 1:0.32115409016885227 2:0.5041649573334155 3:0.03668267080380464 4:0.1379982816939277 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.1 22:0.09199885446261846 23:1 24:1 25:1 26:1 
-1 1:0 2:0 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.0 22:0.0 23:1 24:0 25:1 26:1 
-1 1:0.4219076807016558 2:0.5130858705242038 3:0.021680856815839332 4:0.043325591958301136 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.1 22:0.3420572470161359 23:1 24:0 25:1 26:1 
1 1:0.09569551568692757 2:0.87154332551056 3:0.025905409668454397 4:0.006855749134057906 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.0 22:0.2905144418368533 23:1 24:0 25:1 26:1 
1 1:0.4219076807016558 2:0.5130858705242038 3:0.021680856815839332 4:0.043325591958301136 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.1 22:0.2812717871344372 23:1 24:0 25:1 26:1 
-1 1:0.09569551568692757 2:0.87154332551056 3:0.025905409668454397 4:0.006855749134057906 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.0 22:0.03189850522897585 23:1 24:0 25:1 26:1 
-1 1:0.14003205393626897 2:0.8383241247097347 3:0.013990592347542635 4:0.007653229006453914 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.1 22:0.5588827498064898 23:1 24:1 25:1 26:1 
1 1:0.10932465291773497 2:0.8474512055220208 3:0.020952513817803435 4:0.02227162774244108 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.0 22:0.28248373517400693 23:1 24:1 25:1 26:1 
1 1:0.14003205393626897 2:0.8383241247097347 3:0.013990592347542635 4:0.007653229006453914 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.1 22:0.09335470262417932 23:1 24:1 25:1 26:1 
-1 1:0.10932465291773497 2:0.8474512055220208 3:0.020952513817803435 4:0.02227162774244108 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.0 22:0.03644155097257832 23:1 24:1 25:1 26:1 
-1 1:0.4940883992700284 2:0.4667659629449042 3:0.018513320809749993 4:0.020632316975317467 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.1 22:0.32939226618001893 23:1 24:1 25:1 26:1 
-1 1:0.4940883992700284 2:0.4667659629449042 3:0.018513320809749993 4:0.020632316975317467 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.1 22:0.31117730862993614 23:1 24:1 25:1 26:1 
1 1:0.8624899064415 2:0.11050553579848896 3:0.014885309246751353 4:0.012119248513259325 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.0 22:0.28749663548050003 23:1 24:1 25:1 26:1 
-1 1:0.8624899064415 2:0.11050553579848896 3:0.014885309246751353 4:0.012119248513259325 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0.0 22:0.03683517859949632 23:1 24:1 25:1 26:1 
