0 1:0.8157217404928055 2:0 3:1 4:0 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 
1 1:0.7476739047749151 2:0 3:0 4:1 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 
1 1:0.1496240783949676 2:0 3:1 4:0 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:1 19:0 20:0 21:0 
0 1:0.8906722654064435 2:0 3:1 4:0 5:0 6:1 7:0 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 
1 1:0.8435034907336872 2:0 3:0 4:1 5:0 6:1 7:0 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 16:0 17:0 18:1 19:0 20:0 21:0 
0 1:0.08478625022205681 2:1 3:0 4:1 5:0 6:1 7:0 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 
0 1:0.0 2:0 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:1 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 
1 1:0.7388222350182889 2:0 3:0 4:1 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 
0 1:0.4669986803530224 2:1 3:1 4:0 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 
1 1:0.46432250600816116 2:0 3:1 4:0 5:1 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:1 19:0 20:0 21:0 
0 1:0.9132282339531278 2:0 3:1 4:0 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 
1 1:0.7349832411772621 2:0 3:0 4:1 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 
0 1:0.1421784943264361 2:1 3:0 4:1 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:1 19:0 20:0 21:0 
1 1:0.9478748195218187 2:0 3:0 4:1 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:1 19:0 20:0 21:0 
0 1:0.5066694302830379 2:0 3:1 4:0 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 
0 1:0.40665698556214275 2:1 3:1 4:0 5:0 6:1 7:0 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:1 19:0 20:0 21:0 
1 1:0.9478748195216554 2:0 3:0 4:1 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 16:1 17:0 18:1 19:0 20:0 21:0 
0 1:0.5066694302792697 2:0 3:1 4:0 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 16:1 17:0 18:0 19:1 20:0 21:0 
0 1:0.40665698556611923 2:1 3:1 4:0 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 16:1 17:0 18:1 19:0 20:0 21:0 
0 1:0.8747283424219529 2:0 3:1 4:0 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 
1 1:0.7756631393155415 2:0 3:0 4:1 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 16:0 17:0 18:1 19:0 20:0 21:0 
0 1:0.12413912392675902 2:1 3:0 4:1 5:0 6:1 7:0 8:1 9:1 10:0 11:0 12:1 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 
1 1:0.7726020622629204 2:0 3:0 4:1 5:0 6:1 7:1 8:1 9:1 10:0 11:0 12:0 13:1 14:0 15:0 16:0 17:0 18:1 19:0 20:1 21:0 
0 1:0.756237226686404 2:0 3:1 4:0 5:0 6:1 7:1 8:1 9:0 10:0 11:0 12:0 13:1 14:0 15:0 16:0 17:0 18:0 19:1 20:1 21:0 
0 1:0.6449163456372453 2:0 3:0 4:1 5:0 6:1 7:1 8:1 9:0 10:0 11:0 12:0 13:1 14:0 15:0 16:0 17:0 18:0 19:0 20:1 21:0 
1 1:0.7257352766635348 2:0 3:0 4:1 5:0 6:0 7:1 8:0 9:0 10:0 11:1 12:1 13:0 14:0 15:0 16:0 17:0 18:1 19:0 20:1 21:0 
0 1:0.6875560474857524 2:0 3:0 4:1 5:0 6:1 7:0 8:0 9:0 10:0 11:1 12:1 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:1 21:0 
0 1:0.6618778281850788 2:0 3:1 4:0 5:0 6:1 7:0 8:0 9:0 10:0 11:1 12:1 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:1 21:0 
